,id,cloud_cover,source,aoi_code,percentage_valid_pixels,geometry
39,2021-08-29,56.97,landsat,AOI0342,0.9112620531308201,"POLYGON ((148.09960316085716 -32.84460560526438, 148.30960316085716 -32.84460560526438, 148.30960316085716 -32.634605605264376, 148.09960316085716 -32.634605605264376, 148.09960316085716 -32.84460560526438))"
40,2021-08-06,54.69,landsat,AOI0343,1.0,"POLYGON ((148.09960316085716 -32.644605605264374, 148.30960316085716 -32.644605605264374, 148.30960316085716 -32.43460560526437, 148.09960316085716 -32.43460560526437, 148.09960316085716 -32.644605605264374))"
41,2021-08-22,10.8,landsat,AOI0343,1.0,"POLYGON ((148.09960316085716 -32.644605605264374, 148.30960316085716 -32.644605605264374, 148.30960316085716 -32.43460560526437, 148.09960316085716 -32.43460560526437, 148.09960316085716 -32.644605605264374))"
42,2021-08-13,2.36,landsat,AOI0343,1.0,"POLYGON ((148.09960316085716 -32.644605605264374, 148.30960316085716 -32.644605605264374, 148.30960316085716 -32.43460560526437, 148.09960316085716 -32.43460560526437, 148.09960316085716 -32.644605605264374))"
43,2021-08-29,56.97,landsat,AOI0343,1.0,"POLYGON ((148.09960316085716 -32.644605605264374, 148.30960316085716 -32.644605605264374, 148.30960316085716 -32.43460560526437, 148.09960316085716 -32.43460560526437, 148.09960316085716 -32.644605605264374))"
44,2021-08-06,54.69,landsat,AOI0344,1.0,"POLYGON ((148.09960316085716 -32.44460560526437, 148.30960316085716 -32.44460560526437, 148.30960316085716 -32.23460560526437, 148.09960316085716 -32.23460560526437, 148.09960316085716 -32.44460560526437))"
45,2021-08-22,10.8,landsat,AOI0344,1.0,"POLYGON ((148.09960316085716 -32.44460560526437, 148.30960316085716 -32.44460560526437, 148.30960316085716 -32.23460560526437, 148.09960316085716 -32.23460560526437, 148.09960316085716 -32.44460560526437))"
46,2021-08-13,2.36,landsat,AOI0344,1.0,"POLYGON ((148.09960316085716 -32.44460560526437, 148.30960316085716 -32.44460560526437, 148.30960316085716 -32.23460560526437, 148.09960316085716 -32.23460560526437, 148.09960316085716 -32.44460560526437))"
47,2021-08-29,56.97,landsat,AOI0344,1.0,"POLYGON ((148.09960316085716 -32.44460560526437, 148.30960316085716 -32.44460560526437, 148.30960316085716 -32.23460560526437, 148.09960316085716 -32.23460560526437, 148.09960316085716 -32.44460560526437))"
48,2021-08-06,54.69,landsat,AOI0368,1.0,"POLYGON ((148.09960316085716 -32.24460560526437, 148.30960316085716 -32.24460560526437, 148.30960316085716 -32.03460560526437, 148.09960316085716 -32.03460560526437, 148.09960316085716 -32.24460560526437))"
49,2021-08-22,10.8,landsat,AOI0368,1.0,"POLYGON ((148.09960316085716 -32.24460560526437, 148.30960316085716 -32.24460560526437, 148.30960316085716 -32.03460560526437, 148.09960316085716 -32.03460560526437, 148.09960316085716 -32.24460560526437))"
50,2021-08-13,2.36,landsat,AOI0368,1.0,"POLYGON ((148.09960316085716 -32.24460560526437, 148.30960316085716 -32.24460560526437, 148.30960316085716 -32.03460560526437, 148.09960316085716 -32.03460560526437, 148.09960316085716 -32.24460560526437))"
51,2021-08-29,56.97,landsat,AOI0368,1.0,"POLYGON ((148.09960316085716 -32.24460560526437, 148.30960316085716 -32.24460560526437, 148.30960316085716 -32.03460560526437, 148.09960316085716 -32.03460560526437, 148.09960316085716 -32.24460560526437))"
52,2021-08-06,54.69,landsat,AOI0369,1.0,"POLYGON ((148.09960316085716 -32.044605605264366, 148.30960316085716 -32.044605605264366, 148.30960316085716 -31.834605605264365, 148.09960316085716 -31.834605605264365, 148.09960316085716 -32.044605605264366))"
53,2021-08-22,10.8,landsat,AOI0369,1.0,"POLYGON ((148.09960316085716 -32.044605605264366, 148.30960316085716 -32.044605605264366, 148.30960316085716 -31.834605605264365, 148.09960316085716 -31.834605605264365, 148.09960316085716 -32.044605605264366))"
